OSOURCE,STATE,ZIP,MAILCODE,NOEXCH,MDMAUD,CLUSTER,AGEFLAG,HOMEOWNR,GENDER,DATASRCE,RFA_2R,RFA_2A,GEOCODE2,DOMAIN_A,DOMAIN_B
USB,WI,53562,A,0,XXXX,11,I,H,M,1,L,G,B,S,1
L01,FL,34222,A,0,XXXX,28,,U,M,1,L,F,B,C,2
NSH,TX,75082,A,0,XXXX,11,E,H,F,3,L,E,A,S,1
NPT,other,57783-,A,0,XXXX,46,E,U,M,2,L,F,D,R,2
DNA,CA,92805,A,0,XXXX,7,,U,F,0,L,F,A,U,2
L16,GA,30738,A,0,XXXX,43,E,U,F,1,L,F,B,R,2
L01,CA,90703,A,0,XXXX,3,,H,F,3,L,F,A,U,1
ESN,other,42001,A,0,XXXX,28,E,H,M,1,L,F,C,C,2
RMG,FL,33433,A,0,XXXX,29,E,H,F,3,L,G,B,C,2
IMP,TX,79602,A,0,XXXX,30,E,H,F,3,L,G,C,C,3
BOA,other,89504,A,0,XXXX,25,,U,M,0,L,G,B,C,2
PV3,NC,28644,A,0,XXXX,45,E,H,F,2,L,F,D,R,2
CWR,other,40214,A,0,XXXX,31,E,H,M,3,L,D,B,C,3
L01,GA,30032,A,0,XXXX,18,E,H,M,3,L,E,A,S,2
AML,other,97470,B,0,XXXX,27,E,H,M,3,L,E,C,C,2
GRI,other,68061-,A,0,XXXX,45,,U,F,0,L,E,D,R,2
LOG,other,85365,A,0,XXXX,36,E,H,F,3,L,F,C,T,2
ASC,MO,64841,A,0,XXXX,40,,U,M,0,L,D,C,T,2
DNA,FL,34239,A,0,XXXX,29,E,H,F,3,L,E,B,C,2
AGS,CA,90045,A,0,XXXX,13,,U,M,0,L,F,A,S,1
BHG,FL,33736,A,0,XXXX,4,E,U,F,2,L,F,A,U,2
ARG,other,23005-,A,0,XXXX,12,,U,F,2,L,E,B,S,1
DON,CA,90220,A,0,XXXX,10,E,H,F,3,L,G,A,U,4
AMB,other,29374,A,0,XXXX,44,E,U,M,2,L,E,B,R,2
ASC,TX,75043,A,0,XXXX,3,E,H,F,3,L,G,A,U,1
VIK,CA,90024,A,0,XXXX,22,,U,F,0,L,G,A,C,1
AGR,other,70435,A,0,XXXX,41,,U,F,0,L,D,B,T,3
MBC,FL,32073,A,0,C1CM,18,E,H,M,3,L,G,B,S,2
ARB,other,58033,A,0,XXXX,51,,U,F,2,L,F,D,R,3
ESN,CA,92545,A,0,XXXX,13,I,H,M,3,L,G,A,S,1
BHG,TX,79762,A,0,XXXX,24,,U,Other,1,L,E,C,C,1
HHH,TX,76252,A,0,XXXX,49,E,H,M,3,L,F,D,R,2
ANT,NC,28379,A,0,XXXX,36,E,H,F,3,L,F,D,T,2
STL,CA,94901,A,0,XXXX,24,I,H,M,2,L,G,A,C,1
L01,other,89014,A,0,XXXX,12,E,H,F,3,L,F,B,S,1
SYN,other,36608,A,0,XXXX,13,E,H,M,3,L,G,B,S,1
MBC,other,70711,A,0,XXXX,43,E,H,M,3,L,G,B,R,2
WRG,other,73159,A,0,XXXX,24,E,H,F,3,L,E,B,C,1
,TX,77079,A,0,XXXX,13,E,H,M,3,L,G,A,S,1
PBL,other,99508,B,0,XXXX,18,E,H,F,3,L,E,C,S,2
SYN,MO,65473-,A,0,XXXX,39,E,U,M,3,L,E,D,T,2
L01,other,35620,A,0,XXXX,43,,H,M,3,L,F,D,R,2
DNA,FL,34990,A,0,XXXX,23,I,U,F,0,L,D,B,C,1
L01,FL,34691,A,0,XXXX,33,E,H,M,2,L,F,A,C,3
OMH,CA,92056,A,0,XXXX,24,E,H,M,3,L,E,A,C,1
CRG,FL,34761-,A,0,XXXX,49,,U,F,0,L,G,B,R,2
L04,FL,32174,A,0,XXXX,40,E,U,F,2,L,F,B,T,2
MBC,other,55411,A,0,XXXX,8,E,H,F,3,L,F,A,U,3
SGI,other,70122,A,0,XXXX,8,E,U,M,1,L,E,B,U,3
L02,other,67218,A,0,XXXX,31,E,H,F,2,L,G,B,C,3
UBA,FL,34748,A,0,XXXX,37,E,H,F,2,L,F,C,T,2
ASH,IL,60646,A,0,XXXX,13,E,H,F,3,L,E,A,S,1
DRK,other,85284,A,0,XXXX,14,I,H,F,2,L,F,A,S,1
COK,IL,60463,A,0,XXXX,13,E,H,F,2,L,G,A,S,1
ESN,IL,61554,A,0,XXXX,30,E,H,F,3,L,G,B,C,3
RPH,MI,48446,A,0,XXXX,40,,H,F,3,L,F,A,T,2
SYN,CA,91030,A,0,XXXX,3,I,U,F,2,L,F,A,U,1
ESN,MI,49445,A,0,XXXX,24,,U,M,3,L,F,C,C,1
STV,IL,61008,A,0,XXXX,36,E,U,F,3,L,G,B,T,2
L01,TX,78748,A,0,XXXX,12,E,H,M,3,L,G,B,S,1
ARG,MI,48455,A,0,XXXX,44,E,H,M,3,L,F,A,R,2
NAS,other,99709,A,0,XXXX,40,E,H,F,2,L,F,C,T,2
SSS,WA,98292,A,0,XXXX,40,E,H,M,2,L,E,A,T,2
LEO,IL,60625-,A,0,XXXX,7,E,H,F,3,L,F,A,U,2
KNG,FL,34208,A,0,XXXX,30,E,H,F,3,L,F,B,C,3
AMB,MI,48310,A,0,XXXX,17,E,U,F,3,L,G,A,S,2
HCC,MO,65233,A,0,XXXX,36,E,H,F,2,L,F,D,T,2
APP,IN,46064,A,0,XXXX,49,I,U,M,0,L,F,C,R,2
KIP,CA,95628,A,0,XXXX,14,E,H,M,2,L,G,B,S,1
ASS,FL,32176,A,0,XXXX,28,E,H,F,3,L,D,B,C,2
GDA,IN,46706,A,0,XXXX,44,,U,M,0,L,E,B,R,2
GRT,other,97071,A,0,XXXX,45,I,U,F,1,L,F,B,R,2
MBC,TX,78040,A,0,XXXX,10,E,H,F,1,L,E,C,U,4
CWR,CA,91403,A,0,XXXX,15,,U,F,0,L,G,A,S,1
LHJ,TX,77028,A,0,XXXX,32,E,H,F,3,L,G,A,C,3
BHG,other,72761,A,0,XXXX,36,E,U,M,3,L,G,C,T,2
BHG,other,88001,A,0,XXXX,27,I,H,M,3,L,F,C,C,2
L01,FL,32134,B,0,XXXX,53,,U,M,0,L,E,C,R,3
STR,other,36915,A,0,XXXX,51,,U,M,3,L,F,D,R,3
L01,CA,95926,A,0,XXXX,24,E,H,F,3,L,F,C,C,1
HHH,MI,49854,A,0,XXXX,36,,U,F,0,L,G,D,T,2
DNA,other,37217,A,0,XXXX,12,E,H,M,3,L,E,B,S,1
CAW,other,73505,A,0,XXXX,30,E,U,M,2,L,F,C,C,3
MBC,other,59801,A,0,XXXX,31,E,H,M,3,L,E,C,C,3
RPH,NC,27609,A,0,XXXX,22,,U,F,0,L,E,B,C,1
GRI,other,29604,A,0,XXXX,31,I,U,M,0,L,E,B,C,3
DNA,FL,32801,A,0,XXXX,22,E,U,F,2,L,F,B,C,1
GET,other,70471,A,0,XXXX,40,,U,M,0,L,F,B,T,2
HOS,GA,30905,A,0,XXXX,39,,U,F,1,L,F,B,T,2
ASC,CA,95817-,A,0,XXXX,46,,U,F,0,L,E,B,R,2
CWR,GA,31206,A,0,XXXX,27,E,H,M,3,L,F,B,C,2
USB,MI,48911,A,0,XXXX,32,E,U,F,2,L,F,B,C,3
USB,FL,32789,A,0,XXXX,27,E,U,F,3,L,D,B,C,2
BOA,other,41018,A,0,XXXX,16,E,H,F,2,L,G,B,S,2
HAN,TX,75065,A,0,XXXX,40,E,U,F,2,L,F,A,T,2
DEL,CA,94514,A,0,XXXX,35,E,H,F,3,L,G,A,T,1
L01,MI,49028,A,0,XXXX,43,E,H,M,3,L,F,D,R,2
AGS,CA,94512,A,0,XXXX,44,,H,F,3,L,F,A,R,2
HOS,CA,90044,A,0,XXXX,10,E,U,F,2,L,F,A,U,4
HOS,FL,34736,A,0,XXXX,9,I,U,F,0,L,F,C,U,3
IMA,WA,98198,A,0,XXXX,27,E,H,F,3,L,F,A,C,2
FRC,other,38930,A,0,XXXX,41,E,H,F,2,L,F,D,T,3
FLD,NC,27948,A,0,XXXX,40,E,H,F,3,L,E,D,T,2
HOS,other,96326,A,0,XXXX,10,,U,Other,0,L,F,A,U,4
AGS,other,67122,A,0,XXXX,51,,U,M,0,L,F,D,R,3
CRG,CA,92117,A,0,XXXX,20,E,H,F,3,L,G,A,S,2
BHG,FL,33844,A,0,XXXX,46,I,U,F,0,L,E,B,R,2
L25,other,55804,B,0,XXXX,51,,U,M,0,L,G,B,R,3
SYN,CA,94131,A,0,XXXX,1,E,H,F,3,L,F,A,U,1
HHL,other,80915,A,0,XXXX,18,E,U,M,2,L,G,B,S,2
MER,NC,28560,A,0,XXXX,38,E,U,F,2,L,D,C,T,2
LEO,CA,92592,A,0,XXXX,35,E,H,F,3,L,F,A,T,1
SYC,other,59643,A,0,XXXX,49,,U,F,0,L,E,D,R,2
SYN,TX,75232,A,0,XXXX,16,E,H,F,3,L,F,A,S,2
HAM,FL,32776,A,0,XXXX,46,E,H,F,3,L,F,C,R,2
BOA,CA,93312,A,0,XXXX,40,I,U,M,0,L,G,B,T,2
PSM,GA,30506,A,0,XXXX,15,E,U,M,3,L,G,C,S,1
HIL,MI,48235,A,0,XXXX,10,E,H,F,2,L,D,A,U,4
SPN,other,70001,A,0,XXXX,5,E,H,M,3,L,E,B,U,2
L02,WA,98205,A,0,XXXX,40,E,H,M,3,L,E,A,T,2
SYN,GA,30542,A,0,XXXX,40,E,H,M,2,L,E,C,T,2
SSS,MI,48446,A,0,XXXX,38,E,H,F,3,L,E,A,T,2
AIR,WA,98513,A,0,XXXX,39,E,H,M,2,L,F,C,T,2
IMP,other,85282,A,0,XXXX,23,,U,F,0,L,F,A,C,1
DUR,CA,92020,A,0,XXXX,12,E,H,F,3,L,G,A,S,1
DNB,FL,33838,A,0,XXXX,37,,U,M,2,L,F,B,T,2
HCC,WA,98902,A,0,XXXX,24,E,H,M,3,L,F,C,C,1
STR,TX,77573,A,0,XXXX,24,E,H,M,3,L,G,A,C,1
BRY,CA,92113,A,0,XXXX,10,,H,F,3,L,G,A,U,4
DNB,CA,93550,A,0,XXXX,30,E,H,M,3,L,F,A,C,3
GPS,other,87107,A,0,XXXX,11,E,H,M,2,L,F,B,S,1
IMP,CA,95136,A,0,XXXX,2,E,H,M,2,L,F,A,U,1
ASP,CA,92256,A,0,XXXX,46,E,H,F,2,L,F,A,R,2
ASC,FL,33308,A,0,XXXX,23,E,H,M,3,L,E,A,C,1
IMP,IN,47408,A,0,XXXX,24,,U,M,0,L,F,C,C,1
HOS,NC,27406,A,0,XXXX,32,E,U,M,3,L,F,B,C,3
CWR,NC,28609,A,0,XXXX,51,,U,F,0,L,F,B,R,3
CWR,other,36037,A,0,XXXX,50,,U,Other,2,L,G,D,R,3
INN,FL,32541,A,0,XXXX,42,E,U,M,1,L,E,D,R,1
ABW,other,72908,A,0,XXXX,11,,U,M,0,L,D,C,S,1
HOS,CA,93311,A,0,XXXX,40,E,H,F,3,L,F,B,T,2
CFI,CA,94536,A,0,XXXX,12,E,H,F,2,L,F,A,S,1
JFY,IL,62901,A,0,XXXX,35,E,H,F,3,L,E,C,T,1
BHG,IL,60452,A,0,XXXX,18,,U,F,0,L,F,A,S,2
AGS,CA,90302-,A,0,XXXX,3,E,H,M,3,L,F,A,U,1
LAK,other,59454,A,0,XXXX,43,E,U,M,3,L,F,D,R,2
DNA,FL,33827,A,0,XXXX,40,E,H,F,2,L,F,B,R,2
LVT,FL,34243,A,0,XXXX,12,,H,M,3,L,G,B,S,1
L01,TX,78240,A,0,XXXX,12,E,H,F,3,L,F,B,S,1
BHG,GA,30084,A,0,XXXX,12,E,H,F,2,L,F,A,S,1
AML,FL,33066,A,0,XXXX,29,E,H,F,3,L,E,A,C,2
MBC,CA,90802,A,0,XXXX,4,E,U,F,1,L,E,A,U,2
PBL,NC,27514,A,0,XXXX,22,E,H,F,3,L,G,B,C,1
FRC,other,55106,A,0,XXXX,5,E,H,F,3,L,E,A,U,2
L01,CA,95123,A,0,XXXX,3,,H,M,2,L,F,A,U,1
DUR,MO,63301,A,0,XXXX,15,E,H,M,2,L,G,A,S,1
PV3,WI,53142,A,0,XXXX,18,E,H,F,3,L,E,A,S,2
DRK,MO,63126,A,0,XXXX,12,E,H,M,3,L,E,A,S,1
AMB,TX,75158,A,0,XXXX,49,E,H,F,2,L,E,A,R,2
LHJ,other,67801,A,0,XXXX,39,,U,M,2,L,E,D,T,2
RED,FL,34990,A,0,XXXX,34,E,H,F,3,L,F,B,T,1
PV3,other,67124,A,0,XXXX,46,,U,M,0,L,F,D,R,2
TIM,CA,95212,A,0,XXXX,35,E,H,M,3,L,F,B,T,1
IMP,MO,64093,A,0,XXXX,40,,U,M,0,L,D,D,T,2
MON,CA,92683,A,0,XXXX,14,E,H,M,3,L,F,A,S,1
SGI,other,74501,A,0,XXXX,37,E,H,F,3,L,F,D,T,2
L01,other,55345,A,0,XXXX,17,,U,F,0,L,F,A,S,2
LHJ,CA,92679,A,0,XXXX,35,E,H,M,2,L,G,A,T,1
MM3,CA,90638,A,0,XXXX,13,E,H,M,3,L,E,A,S,1
FAR,other,97801,A,0,XXXX,38,,U,M,3,L,F,C,T,2
HOS,CA,90003,A,0,XXXX,10,,U,F,0,L,F,A,U,4
IMP,FL,33055,A,0,XXXX,21,E,H,M,2,L,F,A,S,3
MBC,IL,62056,A,0,XXXX,41,E,H,F,2,L,E,D,T,3
AMB,other,85326,A,0,XXXX,21,E,H,F,2,L,F,A,S,3
FRC,FL,34608,A,0,XXXX,37,E,H,F,2,L,F,A,T,2
HAN,CA,95843,A,0,XXXX,24,,U,F,0,L,G,B,C,1
HCC,TX,75019,A,0,XXXX,24,E,H,M,3,L,F,A,C,1
L02,other,71483,A,0,XXXX,47,E,H,F,2,L,F,D,R,2
MTR,MI,49120,A,0,XXXX,36,E,H,M,2,L,F,C,T,2
SYN,other,73036,A,0,XXXX,36,E,H,M,3,L,D,B,T,2
AML,IN,47441,A,0,XXXX,36,E,U,F,3,L,F,D,T,2
AML,CA,95993,A,0,XXXX,27,I,U,M,0,L,E,C,C,2
SPN,other,34002,A,0,XXXX,10,,U,F,0,L,G,A,U,4
NAS,GA,30047,A,0,XXXX,14,E,H,M,3,L,F,A,S,1
LIS,other,55117,A,0,XXXX,15,E,U,M,2,L,F,A,S,1
CWR,GA,30260,A,0,XXXX,25,E,H,F,3,L,F,A,C,2
BHG,MI,49601,A,0,XXXX,39,E,H,M,3,L,F,D,T,2
ARG,CA,95833,A,0,XXXX,15,,U,F,0,L,F,B,S,1
HOW,WI,54162,A,0,XXXX,49,E,U,M,3,L,E,D,R,2
LIS,other,35773,A,0,XXXX,49,E,H,F,2,L,F,D,R,2
GDA,MI,49228,A,0,XXXX,45,E,H,M,3,L,E,C,R,2
FOR,MI,49707,A,0,XXXX,39,E,H,M,2,L,F,D,T,2
BHG,GA,30033,A,0,XXXX,23,E,H,M,3,L,E,A,C,1
DRK,TX,79936,A,0,XXXX,3,E,U,M,1,L,D,B,U,1
BHG,MO,64080,A,0,XXXX,43,E,H,M,3,L,F,B,R,2
LKE,IL,60014,A,0,XXXX,35,I,H,Other,2,L,F,A,T,1
ANT,GA,30060,A,0,XXXX,27,,H,F,1,L,F,A,C,2
DBL,NC,28056,A,0,XXXX,27,E,H,M,3,L,G,B,C,2
GPS,TX,77536,A,0,XXXX,18,E,H,F,3,L,G,A,S,2
AML,IL,61744,A,0,XXXX,49,E,U,F,2,L,G,C,R,2
MBC,CA,93705,A,0,XXXX,5,E,H,F,3,L,F,B,U,2
SYN,other,66061,A,0,XXXX,46,E,H,F,2,L,F,B,R,2
HOS,other,70506,A,0,XXXX,27,E,H,M,2,L,D,C,C,2
HOS,CA,94526,A,0,XXXX,24,E,H,F,3,L,F,A,C,1
ANT,MI,48214,A,0,XXXX,10,E,U,F,3,L,F,A,U,4
L04,NC,27536,A,0,XXXX,40,E,H,F,3,L,F,D,T,2
L01,CA,94044,A,0,XXXX,15,E,U,M,2,L,F,A,S,1
SYN,other,85208,A,0,XXXX,41,E,H,M,2,L,F,A,T,3
L16,WI,53212,A,0,XXXX,10,E,H,F,2,L,E,B,U,4
IMP,GA,30044,A,0,XXXX,24,E,H,Other,1,L,F,A,C,1
L21,IL,60477,A,0,XXXX,20,E,H,M,2,L,G,A,S,2
SYN,NC,28025-,A,0,XXXX,17,E,H,F,3,L,G,B,S,2
ENQ,IL,60620,A,0,XXXX,8,E,H,M,2,L,G,A,U,3
HOS,CA,95949,A,0,XXXX,35,E,H,F,2,L,F,C,T,1
AML,other,39530,A,0,XXXX,30,E,H,M,3,L,F,C,C,3
AVN,FL,32504,B,0,XXXX,25,,U,F,0,L,F,B,C,2
IMP,TX,75208,A,0,XXXX,30,E,H,F,2,L,F,A,C,3
MBC,other,87110,A,0,XXXX,4,E,H,F,3,L,E,B,U,2
L04,other,86442,A,0,XXXX,28,E,H,F,3,L,F,C,C,2
HAN,NC,27704,A,0,XXXX,26,E,H,F,3,L,F,B,C,2
FRC,WI,54911,A,0,XXXX,27,E,H,F,3,L,F,B,C,2
L01,MI,48054,A,0,XXXX,37,I,U,F,1,L,F,A,T,2
K3M,CA,91786,A,0,XXXX,2,E,U,F,1,L,F,A,U,1
ARG,TX,79109,A,0,XXXX,24,E,H,M,3,L,F,C,C,1
L01,IL,61821,A,0,XXXX,24,E,H,F,3,L,F,C,C,1
APP,CA,94109,A,0,XXXX,1,,U,F,0,L,E,A,U,1
LHJ,other,37311,A,0,XXXX,30,,H,F,3,L,F,C,C,3
PGR,WA,98548,A,0,XXXX,46,,U,M,0,L,G,D,R,2
SSS,FL,33844,A,0,XXXX,37,E,H,M,2,L,F,B,T,2
ADD,FL,33428,A,0,XXXX,29,,U,F,0,L,F,B,C,2
RMG,MO,64112,A,0,XXXX,3,,U,F,0,L,G,B,U,1
IML,NC,27263,A,0,XXXX,40,,U,M,3,L,E,B,R,2
BRY,TX,75006,A,0,XXXX,14,E,H,F,3,L,G,A,S,1
DRK,WI,53910,A,0,XXXX,53,E,H,F,2,L,F,D,R,3
SMZ,other,97219-,A,0,XXXX,24,,U,F,1,L,F,B,C,1
FRC,MI,48035,A,0,XXXX,16,E,H,M,3,L,F,A,S,2
SYN,WA,98125-,A,0,XXXX,11,E,U,M,3,L,F,A,S,1
BHG,TX,76012,A,0,XXXX,22,E,H,M,2,L,E,A,C,1
DNA,other,37079,A,0,XXXX,43,,U,M,2,L,E,D,R,2
CNT,other,51354,A,0,XXXX,53,,U,F,0,L,G,D,R,3
AMB,CA,92220,A,0,XXXX,37,,U,F,0,L,E,A,T,2
HHL,other,96744,A,0,XXXX,12,E,H,M,2,L,F,B,S,1
ARG,TX,79606,A,0,XXXX,24,E,H,M,3,L,F,C,C,1
SUN,MI,48433,A,0,XXXX,40,E,U,F,2,L,F,B,T,2
L01,MI,49442,A,0,XXXX,21,E,H,M,3,L,F,C,S,3
AGR,IL,60172,A,0,XXXX,12,E,H,M,3,L,G,A,S,1
DCD,other,56326,A,0,XXXX,53,,U,F,0,L,D,D,R,3
ASC,CA,95661,A,0,XXXX,12,E,H,M,3,L,F,B,S,1
DNA,TX,75672,A,0,XXXX,41,E,U,F,2,L,E,C,T,3
MBC,NC,27587,A,0,XXXX,24,E,H,M,3,L,F,B,C,1
STR,WI,53154,A,0,XXXX,18,E,H,F,1,L,F,B,S,2
ASC,NC,27870,A,0,XXXX,36,,U,M,2,L,F,C,T,2
BOA,other,38501,A,0,XXXX,36,E,H,M,3,L,F,D,T,2
WKB,other,37091,A,0,XXXX,41,,H,F,3,L,E,D,T,3
HOS,CA,95820,A,0,XXXX,10,E,H,F,1,L,E,B,U,4
AML,other,89448,A,0,XXXX,42,I,U,M,0,L,F,D,R,1
AGR,FL,33703,A,0,XXXX,12,E,U,F,2,L,D,A,S,1
COK,other,38901,A,0,XXXX,41,E,H,F,3,L,D,D,T,3
HCC,MI,48141,A,0,XXXX,17,,H,M,2,L,G,A,S,2
,other,96745,A,0,XXXX,42,E,H,F,2,L,F,C,R,1
L02,other,37379,A,0,XXXX,36,E,U,F,1,L,E,B,T,2
AML,IL,60631-,A,0,XXXX,10,E,U,M,3,L,E,A,U,4
FRC,IL,62002,A,0,XXXX,28,I,H,M,3,L,G,A,C,2
AGR,WI,53222,A,0,XXXX,13,,U,F,0,L,F,B,S,1
BHG,WA,98360,A,0,XXXX,44,E,H,F,2,L,E,A,R,2
L21,CA,94040,A,0,XXXX,13,E,H,M,3,L,F,A,S,1
AGR,IL,60443,A,0,XXXX,16,E,H,M,2,L,G,A,S,2
MCC,other,38401,A,0,XXXX,44,E,U,F,3,L,G,C,R,2
AMB,other,37087,A,0,XXXX,36,E,H,M,3,L,F,B,T,2
AMB,WI,53719,A,0,XXXX,11,,U,M,0,L,G,B,S,1
MCC,other,97504,A,0,XXXX,30,,U,M,0,L,F,C,C,3
BEL,NC,27215,A,0,XXXX,32,E,H,F,3,L,E,C,C,3
FRC,WI,53550,A,0,XXXX,49,E,U,M,3,L,F,D,R,2
HOS,FL,33129,A,0,XXXX,28,,U,F,0,L,D,A,C,2
SGI,IL,60047,A,0,XXXX,12,,U,F,0,L,F,A,S,1
IMP,MI,48230,A,0,XXXX,2,E,H,F,3,L,F,A,U,1
AML,CA,95376,A,0,XXXX,24,E,H,M,2,L,G,B,C,1
OMH,MI,48161,B,0,XXXX,27,E,U,M,1,L,D,A,C,2
LIS,CA,92543,A,0,XXXX,33,E,H,M,3,L,E,A,C,3
